GeoFips,GeoName,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
19077,"Guthrie, IA",249962,273599,293096,378154,389515,422909,444942,459213,391191,389758,421388,409984,466477,484686,472113,457071,456468,460428,416767,447524,443362
19079,"Hamilton, IA",659722,628618,746116,857049,860670,1079051,995035,802847,678485,709189,717912,675852,780892,853951,839862,832117,870973,922033,847174,722027,768177
19081,"Hancock, IA",468350,551730,555200,647235,624698,642514,632898,604364,471628,635413,694911,742752,784442,848833,787166,702818,775974,799627,770939,709901,837089
19083,"Hardin, IA",783661,789830,734173,854277,861785,900713,917385,856942,796802,882146,909082,903102,915448,974159,887060,870310,880236,866796,822475,746142,793480
19085,"Harrison, IA",331814,365688,364887,399644,377387,373964,374747,410179,454810,408485,439448,443649,456779,406067,393031,382207,385094,385073,393097,392892,437446
19087,"Henry, IA",754558,771850,768355,847409,859873,844680,859454,841726,776100,756809,768559,799398,801424,799958,833126,833409,851932,872299,850309,837869,892825
19089,"Howard, IA",271377,308970,296996,344690,372647,372246,382419,353824,277600,420410,450032,449525,494040,480034,467604,463865,438122,454619,460051,447959,484258
19091,"Humboldt, IA",339388,371461,351846,398180,391873,373143,367579,371258,385811,363401,431983,447042,448005,449254,439881,457239,426948,440656,454820,439646,459208
19093,"Ida, IA",305129,336625,333499,366192,360550,362647,389508,424972,371913,406850,392542,389788,376628,365961,372804,371256,460168,463660,485715,538661,563854
19095,"Iowa, IA",740181,832288,907191,935083,880742,960542,905346,961232,802525,885499,754391,877236,1056328,986532,810983,864472,1023012,1091228,1042440,995501,1102128
19097,"Jackson, IA",417269,430276,476252,507417,505010,496076,471218,491696,466187,493978,528934,544504,563534,553605,616571,675057,633307,614067,606161,615555,618355
19099,"Jasper, IA",1319538,1270589,1322012,1263239,1294044,1415348,1341077,1157313,1110264,1052323,1064127,1083406,1097065,1122733,1042931,1063253,1098104,1067939,1126736,1113771,1159870
19101,"Jefferson, IA",633708,632632,674527,670327,650640,610075,597597,617672,594775,565646,566594,608305,612299,579186,598236,615588,624375,647553,646730,620449,669907
19103,"Johnson, IA",5857474,6061353,6217213,6481135,6615970,6883975,6911731,7214628,7152731,7314536,7603346,7705544,7996599,8168585,8037585,8113343,8475641,8515465,8498471,8303741,8537932
19105,"Jones, IA",493575,513921,524774,545389,537049,548043,554724,523894,505130,518585,578589,583509,621856,585301,612166,591673,594899,588213,578626,593733,623939
19107,"Keokuk, IA",241776,261870,267513,288024,258312,257666,254054,270220,296935,264716,304768,326457,340221,326852,331006,380556,344259,352525,346187,317424,322682
19109,"Kossuth, IA",546493,592943,640656,717238,752474,769053,796525,768638,786635,822604,855946,933386,1026272,1061955,988681,971820,931600,955054,914957,832999,948457
19111,"Lee, IA",1600265,1618820,1685538,1691663,1625696,1548580,1548738,1632670,1617007,1661939,1653529,1640758,1676047,1724075,1850133,1734484,1597301,1588097,1624850,1614305,1633427
